seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log,cluster
ea950d8c6e,14771,646.75,2,1.0,0.0,9,646.75,14771.0,6.473504819442219,9.600488775972456,6
ea95c47509,24,359.5,1,1.0,0.0,1,359.5,24.0,5.887491956725004,3.218875824868201,0
ea98f91224,1,199.0,1,0.0,0.0,1,199.0,1.0,5.298317366548036,0.6931471805599453,2
ea9935ce14,1,2525.0,1,0.0,0.0,1,2525.0,1.0,7.834392302910435,0.6931471805599453,2
ea9988d808,20,374.12,1,1.0,0.0,1,374.12,20.0,5.927245974781331,3.044522437723423,0
ea99bb6896,2,1186.55,1,1.0,0.0,1,1186.55,2.0,7.079647640285552,1.0986122886681098,0
ea9c0ddb6c,1,18500.0,1,0.0,0.0,1,18500.0,1.0,9.825580063659602,0.6931471805599453,2
ea9ced256b,1,2399.0,1,1.0,0.0,1,2399.0,1.0,7.783224016336037,0.6931471805599453,0
ea9dac50c1,8906,355.752,1,1.0,0.0,4,355.752,8906.0,5.877040862508014,9.09459276343187,0
ea9ebd4399,19,4963.4825,1,1.0,0.0,2,4963.4825,19.0,8.510064341439739,2.995732273553991,0
ea9f3994e8,11,10157.025,1,1.0,0.0,2,10157.025,11.0,9.226019312472554,2.4849066497880004,0
ea9f6e1db4,6,126.35,2,1.0,0.0,1,126.35,6.0,4.846939201425466,1.9459101490553128,1
ea9fdbb408,1,65000.0,1,1.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453,0
eaa1aae963,1,1799.0,1,1.0,0.0,1,1799.0,1.0,7.495541943884256,0.6931471805599453,0
eaa225131a,4,7224.75,1,0.25,0.0,4,7224.75,4.0,8.885406313821512,1.6094379124341005,2
eaa40e9027,1,3800.0,1,0.0,0.0,1,3800.0,1.0,8.24301946898925,0.6931471805599453,2
eaa48df28c,12485,349.85714285714283,1,1.0,0.0,2,349.85714285714283,12485.0,5.86037914021172,9.43236329562169,0
eaa4dc99cd,205,2333.9066666666668,2,1.0,0.0,3,2333.9066666666668,205.0,7.755727197855153,5.327876168789581,1
eaa7986979,2,1291.32,1,1.0,0.0,1,1291.32,2.0,7.164194331693986,1.0986122886681098,0
eaa991a7f1,14,7183.105,1,1.0,0.0,1,7183.105,14.0,8.879626225688144,2.70805020110221,0
eaaa6ac30e,7,1091.23,1,1.0,0.0,1,1091.23,7.0,6.995976756837624,2.079441541679836,0
eaad980279,13242,1016.8333333333334,1,1.0,0.0,2,1016.8333333333334,13242.0,6.925431463995079,9.491224389926964,0
eaadcf69d2,10,1332.3333333333333,1,1.0,0.0,1,1332.3333333333333,10.0,7.195437351433918,2.3978952727983707,0
eaaef04c45,62,850.5,1,1.0,0.0,1,850.5,62.0,6.746999500102743,4.143134726391533,0
