seller_nickname,stock_total,precio_promedio,logistic_type_unique,pct_new,pct_refurbished,categorias_unicas,price_capped,stock_capped,price_log,stock_log
cf9767fac2,60,1000.0,1,1.0,0.0,1,1000.0,60.0,6.90875477931522,4.110873864173311
cf98ad20f7,1,1167.25,1,1.0,0.0,1,1167.25,1.0,7.063262181580535,0.6931471805599453
cf9add9aa1,40,629.5,1,1.0,0.0,1,629.5,40.0,6.446513155404975,3.713572066704308
cf9b7d5e1b,1,5000000.0,1,1.0,0.0,1,60062.99999999974,1.0,11.00316593938623,0.6931471805599453
cf9ecfb712,94,306.0842105263158,2,1.0,0.0,11,306.0842105263158,94.0,5.7271220113621,4.553876891600541
cf9fc1b5f9,40,1817.8181818181818,2,1.0,0.0,3,1817.8181818181818,40.0,7.505942218502045,3.713572066704308
cf9fdcb48a,16,1116.0,2,1.0,0.0,4,1116.0,16.0,7.018401799069201,2.833213344056216
cfa00d3455,1,800.0,1,0.0,0.0,1,800.0,1.0,6.68586094706836,0.6931471805599453
cfa089339e,303,1558.33,2,0.6666666666666666,0.0,2,1558.33,303.0,7.352011520808061,5.717027701406222
cfa0cf9326,13068,251.5,1,1.0,0.0,1,251.5,13068.0,5.531411248715415,9.477998292597036
cfa3a319ff,355,1088.6153846153845,2,1.0,0.0,1,1088.6153846153845,355.0,6.99358005480308,5.87493073085203
cfa5cd6cc0,59,2364.55,1,1.0,0.0,1,2364.55,59.0,7.768765832028116,4.0943445622221
cfa75c48ff,1,11999.0,1,0.0,0.0,1,11999.0,1.0,9.392661928770137,0.6931471805599453
cfa7992992,163,127.7,1,1.0,0.0,2,127.7,163.0,4.857484114602081,5.099866427824199
cfaa9896fb,101,1730.5458064516129,1,1.0,0.0,1,1730.5458064516129,101.0,7.45676981827258,4.624972813284271
cfaae3aeb7,5,313.5,1,1.0,0.0,1,313.5,5.0,5.750984076140496,1.791759469228055
cfae36d898,125,395.6666666666667,2,1.0,0.0,3,395.6666666666667,125.0,5.9830962974374655,4.836281906951478
cfaf14c654,1271,1169.91875,2,1.0,0.0,1,1169.91875,1271.0,7.065543976049552,7.148345743900068
cfb0191e6d,1,1900.0,1,1.0,0.0,1,1900.0,1.0,7.550135342488429,0.6931471805599453
cfb0c79bbd,1432,447.6370370370371,3,1.0,0.0,9,447.6370370370371,1432.0,6.106214180062494,7.267525427828172
cfb0e48a2d,10,179.0,1,1.0,0.0,1,179.0,10.0,5.19295685089021,2.3978952727983707
cfb45f9b0c,20,523.0,1,1.0,0.0,2,523.0,20.0,6.261491684321042,3.044522437723423
cfb69c09f9,2,9250.0,1,0.0,0.0,1,9250.0,2.0,9.132486932771318,1.0986122886681098
cfb6cdf4a3,2,13890.0,1,1.0,0.0,1,13890.0,2.0,9.53899642739739,1.0986122886681098
cfba6883a1,100,400.0,1,1.0,0.0,1,400.0,100.0,5.993961427306569,4.61512051684126
cfbe39187c,1,7999.0,1,0.0,0.0,1,7999.0,1.0,8.987196820661973,0.6931471805599453
cfc1525f2e,2,420.0,1,1.0,0.0,1,420.0,2.0,6.042632833682381,1.0986122886681098
cfc35500ac,24,709.55,2,1.0,0.0,3,709.55,24.0,6.566039318037871,3.2188758248682006
cfc44e2a6e,1,115.0,1,1.0,0.0,1,115.0,1.0,4.7535901911063645,0.6931471805599453
cfc48f0b8f,1,2099.0,1,0.0,0.0,1,2099.0,1.0,7.649692623711514,0.6931471805599453
cfc4ea44cf,5,7450.0,1,1.0,0.0,1,7450.0,5.0,8.916103530553727,1.791759469228055
cfc6276e0d,29,313.4,1,1.0,0.0,1,313.4,29.0,5.7506660605550515,3.4011973816621555
cfc627ed21,1,2340.0,1,0.0,0.0,1,2340.0,1.0,7.75833346749091,0.6931471805599453
cfc88ae850,12,374.1,1,1.0,0.0,1,374.1,12.0,5.927192657087842,2.5649493574615367
cfc94020b4,4,785.0,1,1.0,0.0,1,785.0,4.0,6.666956792429207,1.6094379124341003
cfc9490fbe,9,1500.0,1,1.0,0.0,1,1500.0,9.0,7.313886831633462,2.302585092994046
cfc978c274,162,298.0,1,1.0,0.0,1,298.0,162.0,5.700443573390687,5.093750200806762
cfcaa5b246,1497,1057.26,1,1.0,0.0,1,1057.26,1497.0,6.964381328919344,7.311886164077165
cfcd40ab44,1,6800.0,1,0.0,0.0,1,6800.0,1.0,8.824824939175638,0.6931471805599453
cfcd903803,62,399.0,1,1.0,0.0,1,399.0,62.0,5.991464547107982,4.143134726391533
cfcdab245c,10,616.6,1,0.0,0.0,2,616.6,10.0,6.425840998710567,2.3978952727983707
cfcec199f2,7,1518.3,1,1.0,0.0,1,1518.3,7.0,7.326004981449721,2.0794415416798357
cfd1f5497e,6,239.0,1,0.0,0.0,1,239.0,6.0,5.480638923341991,1.9459101490553132
cfd6f300a4,1,1600.0,1,0.0,0.0,1,1600.0,1.0,7.3783837129967145,0.6931471805599453
cfd7c4030b,272,492.15333333333336,1,1.0,0.0,3,492.15333333333336,272.0,6.200820146645806,5.60947179518496
